Start Timing,Duration,,merged
51920,1520,Once upon a time,n
53340,2120,in a kingdom far far away,n
56198,3080,The king and queen were blessed with a beautiful baby girl,n
60478,2340,And throughout the land everyone was happy,n
64109,1320,Until the sun went went down,n
66111,3440,and they cw that their daughter were cursed with a frightful enchantment,c
69470,2805,that took hold each and every night,n
74640,3200,Desperate They sought the help of a fairy god mother,n
77996,2640,who had them lock the young princess away in a tower,n
80913,1320,there to await the kiss,n
82000,2360,of the handsome prince charming,n
87880,1720,It was he who would chance the perilous journey,n
90050,3040,through blistering cold and scorching desert,n
93200,2040,travelling for many days and nights,n
95475,1960,risking life and lip,n
97630,2682,to reach the Dragon's keep,n
105150,2682,For he was the bravest,j
107754,2922,and most handsome,j
113000,1521,In all the land,n
114877,1241,And it was destiny,n
116067,1561,that his kiss,n
118560,2562,would break the dreaded curse,n
121800,960,He alone,n
123833,1281,would climb to the highest room,n
125514,1161,of the tallest tower,n
126715,2161,to enter the princess' chambers,n
128916,2602,cross the room to her sleeping silhouette,n
131718,1922,pull back the goscmer curtains,n
133520,1081,to find her,n
135800,1201,What,a
136920,1882,Princess Fiona,s
138844,920,NO,a
139804,1602,Oh thank Heavens,n
141526,1481,Where is she,n
143398,1321,She's on her honeymoon,n
144448,840,Honeymoon,s
145328,1201,With whom,s
160520,3203,So she cid what's the problem baby,m
163876,1521,What's the problem I don't know,m
165632,1962,Well maybe I'm in love (love),m
167676,1441,Think about it every time,m
168746,2882,I think about it Can't stop thinking 'bout it,m
171628,3322,How much longer will it take to cure this,m
174950,4003,Just to cure it cause I can't ignore it if it's love (love),m
179434,4563,Makes me wanna turn around and face me but I don't know nothing 'bout love,m
184957,3163,Come on come on Turn a little faster,m
188276,3282,Come on come on The world will follow after,m
191871,7886,Come on come on Cause everybody's after love,m
202240,2882,So I cid I'm a snowball running,m
205630,3643,Running down into the spring that's coming all this love,m
209349,4844,Melting under blue skies Belting out sunlight shimmering love,m
214756,3643,Well baby I surrender To the strawberry ice cream,m
218516,4483,Never ever end of all this love Well I didn't mean to do it,m
222745,2722,But there's no escaping your love,m
227320,1962,These lines of lightning,m
228950,4363,Mean we're never alone Never alone no no,m
233709,3002,Come on Come on Jump a little higher,m
236315,3362,Come on come on If you feel a little lighter,m
239677,7966,Come on come on We were once upon a time in love,m
248880,2882,Accidentally in love,m
252280,2521,Accidentally in love,m
255192,2882,Accidentally in love,m
258871,3043,Accidentally in love,m
262350,2842,Accidentally in love,m
263455,4963,Accidentally in love,m
269028,1201,Accidentally,m
269120,5885,I'm in love I'm in love I'm in love I'm in love I'm in love I'm in love,m
275632,3402,Accidentally in love,m
279156,4964,I'm in love I'm in love,m
284720,1602,It's so good to be home,j
290274,1401,You and me and,n
295080,3082,Two can be as bad as one,m
298200,881,Donkey,s
299517,1601,Shrek Fiona,s
300962,1922,Well aren't you two a sight for sore eyes,j
303309,760,Give us a hug Shrek,j
303400,2362,You old love machine,j
305720,1961,And look at you Mrs Shrek,j
308127,1602,How about a side of sugar for the steed,j
309792,2081,Donkey what are you doing here,n
311996,1842,I was just taking care of your love nest for you,j
313957,2401,Oh you mean sorting the mail,n
316293,1682,and watering the plants,n
318192,1601,Yeah and feeding the fish,j
319656,1401,I don't have any fish,a
321158,921,You do now,n
322058,3362,I call that one Shrek and the other Fiona Shrek is a nasty devil,j
327073,2162,Oh look at the time I guess you'd better be going,n
329143,1521,Don't you want to tell me all about the trip,j
330744,1841,How about a game of parchese,j
332665,4524,Actually donkey shouldn't you be getting home to Dragon,n
337679,1881,Oh yeah That,c
339150,2882,I don't know she's been all moody and stuff lately,s
343316,1521,So I thought I'd move back in with you guys,n
344992,2962,Well you know we're always happy to see you Donkey,n
347719,5805,But Fiona and I are married now We need a little time to be together,n
355720,1361,Just with each other,n
358880,1281,Alone,n
360074,2482,cy no more You don't have to worry about a thing,n
362913,2762,I will always be here to make sure nobody bothers you,n
365594,641,Donkey,a
365680,920,Yes roomy,n
367318,1562,You're bothering me,a
369720,6485,OKcool I guess me and Pinnochio was gonna try to catch a tournament,n
376277,3963,so maybe I'll see you all Sunday,c
382920,2802,He'll be fine Now,n
385384,1281,Where were we,n
386913,3042,I think I remember,j
392960,681,Donkey,a
393350,3202,I know I know alone I'm going I'm going,a
396712,2122,Hey what do you want me to tell these other guys,j
409882,1041,Enough,a
415086,2201,Dearest Princess Fiona,n
417516,4083,You are hereby summoned to the kingdom of Far Far Away,n
421593,4243,for a royal ball in celebration of your marriage,n
426151,4164,at which time the king will bestow his royal blessing,n
429977,4683,upon you and yourerr Prince Charming,n
434740,5004,Love The king and queen of Far Far Away,n
439837,2041,AKA Mom and dad,n
442275,1081,Mom and dad,s
442986,1521,Prince Charming,s
444667,1802,A ball Can I come,s
446917,1120,We are not going,n
447669,681,What,s
448718,5484,I mean don't you think they might be a bit shocked to see you like this,n
453994,2642,Oh they might be a bit surprised,n
457029,2922,But they are my parents Shrek They love me,n
459638,2442,And don't worry They are gonna love you too,n
462470,3563,Yeah alright Somehow I don't think I'd be welcome at the country club,a
466194,1761,Will you stop it they are not like that,a
467998,1561,Then how do you explain sergeant Pompous,a
469285,1842,and the Fancy Pants Club band,a
471390,2962,Come on You can at least give them a chance,a
474169,2362,Oh to do what Sharping their pitchforks,a
476831,3002,NO They just wanna give you their blessing,a
479760,3162,Great Now I need their blessing,a
482975,2682,If you wanna be a part of this family yes,a
486115,1842,And who cys I wanna be part of this family,a
487619,2962,You did When you married me,a
491073,2282,Well there's some fine print for you,a
493151,2962,Ah So that's it You won't come,a
496118,1681,Trust me It's a bad idea,a
497786,2722,We are not going And that's final,a
502960,1922,Hey come on Shrek We don't wanna hit traffic,j
508080,2081,Don't worry We'll take care of everything,n
510235,2802,Hey wait for me,n
520920,721,Move on,n
526567,1161,Move on,n
527755,1881,Roll high,n
534312,961,Knock 'em out,n
534400,921,Count 'em dead,n
545800,1161,Are we there yet,n
546702,881,No,n
551360,1121,Are we there yet,n
552306,1041,Not yet,n
556429,1601,Hey are we there yet,n
558070,961,Noo,a
560040,760,Are we there yet,n
560952,721,NO,a
561917,1481,Are we there yet,n
563234,480,Yes,n
563911,441,Really,s
564000,920,NOO,a
565228,921,Aren't we there yet,a
566076,480,NO,a
566719,881,Aren't we there yet,a
567477,961,No we are not,a
567517,1481,ARE WE THERE YET,a
568600,921,NOO,a
571600,1401,Are we there yet Are we there yet,n
573602,1280,Hey that's not funny Hey that's not funny,a
575003,840,Hey that's really immature immature,a
578160,1881,See this is why I don't like ogres don't like ogres,a
580310,2362,I'm gonna just stop talking,a
582568,1601,Finally,a
585000,1441,But this is taking forever Shrek,a
586531,1401,And there ain't no flight movie or nothing,a
588436,5604,The kingdom of Far Far Away Donkey That's where we're going,n
594097,3362,FAR FARaway,n
598038,1641,Alright alright I get it,n
599821,1441,I'm just so bored,a
601556,2562,Well find a way to entertain yourself,n
625596,2202,For five minutes,a
627921,2162,Could you not be yourself,a
630397,2041,FOR FIVE MINUTES,a
639511,1482,ARE WE THERE YET,a
641272,920,Yes,j
641360,1121,Finally,j
649657,2122,WELCOME TO FAR FAR AWAY,n
658360,1962,It's gonna be champagne wishes,j
659905,1921,and caviar dreams from now on,j
662558,2442,We'll be back to pick you up later,j
665393,1401,VERcRCHERY,n
670759,2522,FAIRY GODMOTHER,n
673680,2722,Yeah we're definitely not in the swamp anymore,j
699840,2522,Hey ladies yeah,j
701975,1842,You work in that hat,j
711480,1962,Movie stuff,j
748280,4083,Announcing the long awaited return of the beautiful Princess Fiona,n
752652,2762,and her new husband,j
756880,1521,Now This is it,j
758632,1000,This is it,a
759377,1081,This is it,j
760597,1001,This is it,j
783795,2122,Why don't you guys go ahead I'll park the car,n
789920,1682,So,n
792200,1722,You still think this is a good idea,n
795078,1041,Of course,j
796124,2762,Look Mom and dad look happy to see us,n
799392,2162,Who on earth are they,s
801208,1841,I think that's our little girl,n
803519,3043,That's not little That's a really big problem,a
806172,3282,Wasn't she supposed to kiss prince Charming and break the spell,a
809454,3122,Well he's no prince Charming but they do look,n
812576,1001,Happy now,n
813280,2762,We came We cw them,n
816795,2322,Now let's go before they light the torches,f
819155,1201,They are my parents,n
820102,2241,Hello they locked you in a tower,a
822391,961,Hey that was for my own,a
823344,1681,Good Here's our chance,a
825065,2162,Let's go back inside and pretend we're not home,n
827675,1121,Harold we have to be,a
828388,920,Quick,a
829040,2162,While they are not looking we can make a run for it,n
831838,1801,Shrek Stop it Everything's gonna be,a
833311,1882,A dicster They know,a
835233,1481,You can do this,n
836754,881,But it's a really,f
837798,920,really,a
844200,441,Mom,j
844640,1361,Dad,j
848560,2402,I'd like you to meet my husband Shrek,n
854440,1921,Well OohAah It's,n
856280,2842,easy to see where Fiona gets her good looks from,n
859477,2322,He he,n
895959,761,Excuse me,n
898190,2601,Better out than in I always cy eh Fiona,j
905792,1722,I guess not,c
907549,1321,What do you mean I'm not on the list,a
908767,1320,Don't tell me you don't know who I am,a
910128,3602,He hey What's happening everybody Thanks for waiting,a
915812,1721,NO NO Bad donkey bad DOWN,a
917533,3242,No no dad it's alright He's with us,n
920855,1882,He helped rescue me from the dragon,n
922777,1521,Yeah that's me the noble steed,n
924378,2001,Hey waiter How about a bowl for the steed,j
926419,1441,Oh boy,c
930422,641,Ah Shrek,n
931120,2402,Yeah Oh sorry,n
933545,2562,Great soup Mrs Q,j
937149,1521,No no noDarling,n
943312,2922,So Fiona Tell us about where you live,n
947240,2562,Well Shrek owns his own land,n
949957,2201,Don't you honey,n
951720,1361,Yes He he,j
953559,2762,It's in an enchanted forest,n
956321,4964,abundant in squirrels and cute little duckies and,n
961751,1001,What,s
961840,1801,I know you ain't talking about the swamp,n
964167,480,Donkey,a
964687,3123,An ogre from a swamp Oh how original,n
969319,2882,Well I suppose that would be a fine place to raise the children,n
981500,2722,It's a bit early to be thinking about that isn't it,s
984262,2361,Indeed I've just started eating,a
986824,1521,What's that supposed to mean,a
987920,720,Dad,a
989145,1081,It's clean OK,a
990266,1241,Well for his type yes,a
991547,1161,My TYPE,a
992748,1681,I'm going to the bathroom,n
995074,1922,Dinner is served,n
996711,1281,Never mind I can hold it,n
1003396,1521,Bon appetit,n
1005109,1961,Oh Mexican food My favourite,s
1006958,3763,Well let's not just sit here with our tummies rumbling Everybody dig in,n
1011110,1081,Don't mind if I do Lillian,n
1011882,3643,So I suppose the grand children I could expect from you would be,a
1015565,2081,Ogres Yes,n
1017686,1721,Not that thereŠ—Ès anything wrong with that,n
1019447,1121,right Harold,n
1020608,2202,Oh no Of course not,n
1023232,2842,That is assuming you don't eat your own young,a
1025732,721,Dad,a
1026480,4483,Oh no We usually prefer the ones that've been locked away in a tower,a
1031757,561,Shrek Please,a
1031840,1681,I only did that because I loved her,a
1033818,2962,Oh aye Day care in dragon guarded castle,a
1036820,1962,You wouldn't understand You're not her father,a
1045280,2362,It's so nice to have the family together for dinner,n
1052200,1041,Harold Shrek,s
1052872,1001,Fiona Fiona,s
1053520,1281,Mom Harold,s
1055709,1120,Donkey,n
1116759,3082,Your fallen tears have called to me,m
1120312,4163,So here comes my sweet remedy,m
1124988,4684,I know what every princess needs,m
1129608,5164,For her to live life happily,m
1134910,961,Ah Ah,s
1136788,801,Oh my dear,s
1136880,1841,Look at you heh heh,s
1139255,1841,You're all hm,s
1140793,1041,grown up,s
1143591,1401,Err who are you,s
1144200,3563,Oh this is Sweet Pea I am your fairy godmother,n
1148302,1441,I have a fairy godmother,s
1150904,4443,Sh now don't worry I'm here to make it all better,n
1155387,3242,with just a,n
1158998,3843,wave of my magic wand your troubles will soon be gone,m
1163110,2202,with a flick of a wrist and just a flash,m
1164874,1921,you'll land a prince with a ton of cash Haha,m
1167155,1682,A high priced dress made by mice no less,m
1168837,2441,some crystal glass pumps and no more stress,m
1171871,1921,Worries will vanish your soul will dance,m
1173871,1841,Confide in your very own furniture friends,m
1175632,2482,We'll help you set a new fashion trend,m
1177923,2362,I'll make you fancy I'll make you great,m
1180365,1641,the kind of girl a prince would date,m
1182086,2042,They'll write your name on the bathroom wall,m
1184128,1921,For happy ever after give Fiona a call,m
1186049,2202,Swirling cash arrive in style,m
1188331,1921,sexy men my chauffer Kyle,m
1190332,1762,Vanish your blemishes tooth decay,m
1192134,1881,cy light thighs we'll pay the way,m
1194396,2402,a roll in the the hay a new chauffeurŠ—Ès day,m
1196537,3683,Nip and tuck here and there to land that prince with the perfect hair,m
1200260,1601,lipstick liner shadows blush,m
1201941,1641,to get the prince with the sexy tush,m
1204156,1441,Lucky day up boo bay,m
1207118,1361,Hear you swoon on the moon,m
1208145,1401,with the prince do this tune,m
1209626,1401,DonŠ—Èt be drab you'll be fab,m
1213000,1441,Have some chicken fricassee,m
1220111,1321,Look,a
1221872,3202,Thank you very much fairy godmother but,n
1224640,1641,I really don't need all this,n
1232200,1121,Fiona,n
1233684,961,FIONA,s
1238528,2882,Oh You got a puppy All I got in my room was shampoo,s
1241998,1241,Oh Ah,n
1243131,1241,Fairy godmother,n
1244612,1321,furniture,n
1245760,2402,I'd like you to meet my husband Shrek,n
1249030,841,Your husband,s
1249160,880,What,s
1250656,1642,When did this happen,s
1252596,1561,Shrek is the one who rescued me,n
1254272,921,But that can't be right,a
1254980,2802,Oh great More relatives,a
1258114,1161,She's just trying to help,n
1259103,1761,Good She can help us pack,a
1260944,1481,Get your coat dear We're leaving,a
1262465,1561,What Leaving I don't wanna leave,s
1264066,1281,When did you decide this,s
1265347,1561,Shortly after arriving,a
1267028,921,Look I err I'm sorry,n
1268269,3083,No no that's alright I need to go anyway,n
1271552,1321,But remember dear,n
1272913,1801,If you should ever need me,n
1274794,3002,Happiness is just a teardrop away,n
1278278,3683,Thanks But we've got all the happiness we need Happy Happy Happy,a
1281639,1401,So I see,a
1284830,1321,Let's go Kyle,j
1289320,1241,Very nice Shrek,a
1290165,2482,What I told you coming here was a bad idea,n
1292727,2642,you could have at least tried to get along with my father,a
1295369,4163,Somehow I think I wasn't gonna get daddy's blessing even if I did want it,a
1299772,3803,Do you think it might be nice if somebody asked me what I wanted,a
1303655,2402,Sure Do you want me to pack for you,n
1306137,1881,You're unbelievable,a
1308098,1441,You behave like a,a
1310900,1482,Go on cy it,a
1312502,1161,Like an ogre,a
1313743,3082,Well here's a news flash for you Whether your parents like it or not,a
1316865,2682,I am an ogre,a
1324711,3882,And guess what princess That's not about to change,a
1333957,3723,I made changes for you Shrek think about that,a
1339682,5764,That's real smooth Shrek I'm an ogre Arrrgh,n
1368423,1280,I knew this would happen,a
1370399,1721,You should You started it,a
1371785,2362,I can hardly believe that Lillian I mean Lily,n
1374227,1441,He's the ogre not me,n
1376234,3042,I think Harold you're taking this a little too personally,n
1379030,1962,This is Fiona's choice,n
1381112,3042,Yes but she was supposed to choose the prince we picked out for her,a
1384274,4123,And you expect me to give my blessings to this this thing,a
1388477,3403,Fiona does And she'll never forgive you if you don't,n
1392954,2762,I don't want to lose our daughter again Harold,n
1396523,3042,Oh you act as if love is totally predictable,n
1400074,2162,Don't you remember when we were young and,n
1402007,2602,we used to walk down by the lily pond,n
1405758,1000,They were in bloom,n
1406450,1161,Our first kiss,n
1408912,1201,It's not the cme,a
1409693,2321,I don't think you realize that our daughter,a
1412054,1682,has married a monster,a
1414274,2321,Oh stop being such a drama king,n
1416555,3202,Fine Pretend there's nothing wrong Ladidadidas,a
1419620,3122,Oh wonderful How can it get any worse,a
1423476,761,Hello Harold,n
1423560,961,What happened,n
1424840,1321,Nothing nothing dear,n
1426796,3042,just the old crucde wound playing up a bit hahaha,n
1429800,2561,I'll err just stretch it out here for a while,n
1432750,840,You'd better get in,n
1433440,1561,We need to talk,n
1435632,2201,Actually fairy godmother just off to bed,n
1437953,3523,Already taken my pills Tend to make me a bit drowsy,n
1441596,3322,Soerr how about we make this a quick one,n
1445909,1521,Oherrhello,s
1450603,1281,So What's new,s
1451924,3202,Do you remember my son prince Charming,n
1455166,3923,Charming Is that you My gosh It's been years,n
1459169,2001,Aerr when when did you get back,s
1461290,2482,Oh about five minutes ago actually,n
1464132,3563,after I endured blistering winds scorching desert,a
1467775,2082,I climbed to the highest room in the tallest,a
1469977,2281,Mommy can handle this,n
1473099,3603,He endures blistering winds and scorching deserts,a
1476742,3802,He climbs to the highest bloody room of the tallest bloody tower,a
1480585,1320,and what does he find,a
1481760,3842,Some gender confused wolf telling him that his princess,a
1485828,1361,has already married,a
1487269,2923,It wasn't my fault He didn't get there in time,a
1490272,1681,STOP THE CAAAR,a
1493879,1161,Harold,a
1495552,4363,You force me to do something I really don't want to do,a
1501038,641,Where are we,f
1502997,120,Welcome,n
1503080,880,May I take your order,n
1505243,3362,My diet is ruined Now I hope you're happy,a
1508685,3483,OKTwo Renaiscnce,n
1512713,1201,I'll have the medieval meal,n
1513489,3042,One medieval meal and Harold curly fries,n
1516280,920,No no thank you,n
1517532,920,Harold what do you want,n
1518280,881,No really I'm fine,n
1519493,1921,Your order fairy godmother,n
1521534,2122,And this comes with medieval meal,n
1523856,1241,Here you are dear,n
1528059,1802,You see we made a deal Harold,n
1529981,2401,And I assume you don't want me to go back on my part,n
1532795,1401,Indeed not,c
1534024,3722,So Fiona and Charming will be together,n
1537826,841,Yes,c
1538600,2602,Oh believe me Harold It's what's best,n
1541429,2522,not only for your daughter,n
1545112,1601,but for your kingdom,n
1550556,2922,But what am I supposed to do about it,n
1554719,1601,Use your imagination,a
1577936,1801,THE POISON APPLE,n
1594240,1681,Come on in your majesty,n
1614915,760,Excuse me,n
1615563,1962,Do I know you,n
1618005,2682,Err you must me mistaking me for someone,n
1620807,4283,Err excuse me I err am looking for the ugly step sister,n
1626811,2442,Aah there you are right,s
1629834,4804,You see I need to have someone taken care of,n
1635040,761,Who's the guy,n
1635658,2602,he's not guy per seehm,n
1639238,1361,He's ogre,n
1642743,2082,Hey buddy Let me clue you in,n
1644865,2722,There's only one fella who can handle a job like that,n
1647667,3122,And frankly he don't like to be disturbed,n
1651240,1241,Where could I find him,n
1656193,680,Hello,f
1658756,1561,Who dares to enter my room,a
1660756,1962,Sorry I hope I'm not interrupting,n
1662758,3682,but I'm told you're the one to talk to about an ogre problem,n
1666958,1722,You're told correct,n
1668282,3202,But for these I charge a great deal of money,n
1672405,2041,Would this be enough,n
1680691,3482,You have engaged my valuable services,n
1684253,1401,Your majesty,n
1686549,3162,Just tell me where can I find this ogre,n
1706479,5484,Everyone cys I'm getting down to low,m
1713428,6164,"Everyone cys""You just gotta let it go""",m
1720070,2322,You just gotta let it go,m
1731848,5804,I need some sleep Time to put the old bones down,m
1739680,5524,I'm in too deep and the wheels keep spinning round,m
1746440,5484,Everyone cys You just gotta let it go,m
1755000,4043,Dear knight I pray that you take this favour as a token of my gratitude,n
1780444,920,Dear diary,n
1782354,2602,Sleeping Beauty is having a slumber party tomorrow,n
1785034,1401,but dad cys I can't go,c
1786128,1961,He never lets me out after sunset,a
1788795,2321,Dad cys I'm going away for a while,n
1791212,2481,Must be like some finishing school or something,n
1794590,1601,Mom cys that when I'm old enough,n
1796776,2481,my handsome prince Charming will rescue me from my tower,n
1799297,1802,and bring me back to my family,n
1802554,2321,And we'll all live happily ever after,j
1805757,2321,Mrs Fiona Charming,n
1810025,1321,Mrs Fiona Charming,n
1811987,1241,Mrs Fiona Charming,n
1813308,2241,Mrs Fiona Charming,n
1824516,3282,Sorry I hope I'm not interrupting or anything,n
1828393,2282,No no I was just reading a,n
1831481,1161,a scary book,n
1833793,4082,I was hoping you'd let me apologize for my despicable behaviour earlier,n
1837686,1321,OK,s
1838840,1401,I don't know what came over me,n
1840488,3082,Do you suppose we can just pretend it never happened and start over,n
1843610,1921,Your majesty I just,n
1845651,921,Call me dad,n
1846772,921,Dad,c
1848333,2482,We both acted like ogres,n
1851639,2762,Maybe we just need some time to get to know each other,n
1854218,1201,Excellent idea,j
1855160,3162,I was actually hoping you might join me for morning hunt,n
1862264,2401,I know it would mean the world to Fiona,n
1873668,3402,Shall we cy 730 by the old oak,n
1882398,1962,Face it Donkey We're lost,a
1884440,2802,We can't be lost We followed the king's instructions exactly,n
1887522,2001,What did he cy head for the deepest darkest part of the wood,n
1889563,921,Aye,n
1890604,1922,Pass the sinister trees with those scary looking branches,n
1892566,920,Check,n
1893526,1481,And there's that bush that's shaped like Shirley Bassey,n
1895128,2321,We passed that bush three times already,a
1897529,2762,Hey you were the one who cid you don't wanna stop and get directions,n
1900411,921,Ah great,a
1901360,3042,My one chance to fix things up with Fiona's dad,n
1904454,2082,and I end up lost in the woods with you,a
1906616,2522,Alright You don't have to get all hoppy with me I'm only trying to help,a
1909178,1761,I know I know,a
1913421,1081,I'm sorry alright,c
1914120,1721,Hey don't worry about it,n
1916383,2922,I just really need to make things work with this guy,n
1919465,2402,Yeah sure Now let's go bond with daddy,n
1929993,1161,Well well Donkey,n
1930880,3843,I know it was kind of a tender moment but but the purring,n
1935117,1721,What are you talking about I ain't purring,n
1937392,2282,Oh sure What's next a hug,n
1939675,3002,Hey Shrek Donkeys don't purr Who do you think I am some kinda,n
1942442,3162,Haha Fear me If you dare,n
1946360,1001,Hey look A little cat,n
1947554,1361,Look out Shrek We got a beast,n
1948800,3603,It's a cat Donkey Come here little kitty kitty,n
1952850,640,Come on,n
1955812,1881,Oho come here little kitty,n
1960080,1481,Oh Shrek I'm coming,a
1961640,561,Come on,n
1962857,841,Get it off,f
1963738,1601,GET IT OFF,f
1970503,720,Look out Shrek,n
1971560,1241,GET IT OFF,f
1973105,1200,Hold still,s
1975876,640,Did I miss,s
1977040,1080,No,n
1978468,1161,You got them,n
1983192,1281,Now the ogre,n
1984953,1802,Pray for mercy from,n
1988436,2161,Puss in Boots,n
1990958,1921,I'll kill that cat,a
2012160,841,Hair ball,n
2013494,1481,Ah that is nasty,d
2015709,1641,What do you reckon we should do with him,n
2017497,2082,I cy we take the sword and neuter him right here,n
2019619,1441,Give him the barbarber treatment,n
2021100,1881,Oh mercy Please,c
2023148,2522,I implore you It was nothing personal senor,n
2025874,2402,I was doing it only for my family My mother she's sick,n
2027640,2361,My father lives on the garbage,n
2030426,3043,The king offered me much in gold and I have a little brother,n
2033589,4163,Wow ohohoh Fiona's father paid you to do this,s
2037832,1761,The rich king Si,j
2042996,3242,Well so much for dad's royal blessing,c
2046358,1881,Oh come on Shrek Don't feel bad,n
2047776,1722,Almost everybody that meets you wants to kill you,n
2050001,1321,Gee thanks,n
2054124,3803,Maybe Fiona would have been better off if I were some sort of prince Charming,c
2057967,1961,See that's what the king cid,n
2061089,3162,Oh Errsorry I thought the question was directed at me,n
2065613,2442,Shrek Fiona knows you'll do anything for her,n
2068574,2682,It's not like I wouldn't change if I could,n
2072057,3522,I just wish I could make her happy,c
2080863,1321,Happiness,n
2082785,2201,A teardrop away,n
2085066,4083,Donkey think of the cddest thing that ever happened to you,n
2089470,1961,Oh man where do I begin,n
2091471,3322,First there was the time that old farmer tried to sell me for some magic beans,n
2094834,920,I never got over this,n
2095794,1842,Then this fool would often have a party,n
2097176,1921,and he'd have all the kids trying to pin a tail on me,n
2099597,2682,Then they all got drunk and started beating me with a stick,a
2102319,921,Penada penada,a
2103280,1481,What is a penada anyway,a
2104769,2562,No Donkey I need you to cry,n
2107403,1681,Yeah Well don't go projecting on me,a
2109164,1881,I know what you're feeling man But you gotta let your own,a
2114172,2442,You little hairy licking sucker,c
2122894,2482,Is it on Is it on,s
2125376,2602,this is fairy godmother,n
2128098,2322,I am either away from my desk or with a client,n
2130420,4243,But if you come by the office we'd be glad to make you a personal appointment,n
2134943,1081,Have a happy ever after,j
2140895,2001,Oh are you up for a little quest Donkey,n
2142588,3643,that's more like it Shrek and Donkey on another worldwide adventure,n
2146311,2602,Ain't no stopping us now,m
2149674,520,Stop Ogre,a
2150314,2242,I have misjudged you,c
