Start Timing,Duration,,merged
2152596,1721,Join the club We've got jackets,n
2154437,3723,My honour I am obliged to accompany you until I have cved your life,n
2158160,1681,but you have to spare me mine,n
2159881,3363,Sorry the position of annoying talking animal has already been taken,a
2163244,1200,Let go Shrek,a
2165045,1001,Shrek,n
2174652,560,Shrek,s
2175696,2322,Come on Donkey Look at him,n
2177654,1721,This wee little,n
2179535,2562,How many cats can wear boots,n
2182177,2042,Honestly Let's keep him,n
2184016,961,What,a
2188496,1641,Oh listen He's purring,n
2190503,1201,Oh so now he's cute,a
2191456,2002,Oh come on Donkey Lighten up,n
2193786,2922,I should lighten up Look who's teeling who to lighten up,a
2199896,960,Shrek,j
2206195,801,Shrek,c
2217643,1922,They're both festive aren't they,n
2219605,1721,What do you think Harold,n
2221566,2162,Ahem yes yes Fine fine,n
2226091,3843,Try to pretend that you're at least interested in your daughter's wedding ball,n
2229692,2322,Honestly Lilian I don't think it really matters,n
2232054,2241,How do we know that thereŠ—Ès even going to be a ball,n
2234376,1601,Mom Dad,j
2236017,1321,Oh hello dear,n
2237176,2522,What's that Cedric Right Coming,n
2239940,2241,Mom have you seen Shrek,n
2242221,2562,I haven't You should ask your father,n
2244823,4483,Be sure and use small words dear He's a little slow this morning,n
2249427,1601,Can I help you your majesty,n
2250656,4403,Ahyes Exquisite What do you call this dish,n
2255551,3162,That would be the dog's breakfast your majesty,n
2258753,3483,Ah yes Very good Carry on Cedric,n
2262396,2442,Dad have you seen Shrek,c
2264838,960,No I haven't dear,n
2266199,3763,I'm sure he went off to look for a nice mud hole to cool down in,n
2270082,1721,After your little spat last night,n
2272243,1802,Oh you heard that hah,n
2274085,2161,Darling the whole kingdom heard you,n
2276286,4323,I mean after all it is in his nature to be a bit of a brute,n
2280649,3683,Him Well you know you didn't exactly roll out the welcome wagon,a
2284372,3282,What did you expect Look at what he's done to you,a
2288966,2482,Shrek loves me for who I am,n
2291457,2242,I would think you'd be happy for me,n
2293939,3363,Honey I'm just thinking about what's best for you,n
2297462,2642,Maybe you should do the cme,n
2313794,960,No Really,s
2321696,1001,Ooh,s
2326816,2922,Ohno that's old keepless place Let's just back away slowly,f
2330085,1562,That's the fairy godmother's cottage,n
2331687,3242,She's the largest producer of hexes and potions in the whole kingdom,n
2335129,2162,Then why don't we pop in there for a spell,j
2337571,1161,Spell,j
2351616,1641,Hi I'm here to see the,n
2352902,1001,fairy godmother,n
2353896,2001,I'm sorry She's not in,n
2356064,2402,Jerome Coffee and a magic crystal Now,a
2358506,4283,Yes fairy godmother Right away,n
2362869,2682,Look she's not seeing any client today OK,n
2365591,2042,Not OK buddy We're from the Union,n
2367673,1241,The Union,s
2368966,4283,We represent the workers in all magical industries both evil and benign,n
2373357,1401,Ohohalright,n
2374376,3082,Are you feeling at all degraded or oppressed,n
2377880,1962,Err a little,n
2379962,1721,We don't even have dental,n
2381723,1321,Don't even have dental,n
2383525,2041,OK We're just gonna have a look around,n
2385766,4243,Oh by the way I think it'd be better if the Fairy Godmother didn't know we were here,n
2390129,1241,You know what I'm cying eh,n
2394134,2082,Of course Go right in,n
2424675,1761,Drop of desire,j
2427208,1040,Naughty,j
2430599,1601,A pinch of passion,j
2437084,3562,And just a hint oflust,n
2444096,800,Excuse me,n
2445136,2282,Sorry to barge in like this but,n
2447852,2682,What in Grimm's name are you doing here,a
2450574,5323,Well it seems that Fiona is not exactly happy,c
2456018,3762,Oh there's some question as to why that is,a
2460524,1841,Well let's explore that shall we,n
2465096,2121,Ah P p p Princess,n
2466865,1201,Cinderella,n
2468106,1882,Here we are lived happily ever after,n
2471069,1481,No ogres,j
2473030,1601,Let's see Snow White,n
2474256,3163,Handsome prince Oh no ogres,n
2478354,2161,Sleeping Beauty Oh No ogres,n
2480596,1881,Hansel and Gretel No,n
2482517,1241,Thumbelina No,n
2483798,2442,The Golden Bird The Little Mermaid Pretty Woman,n
2486280,3923,NO NO No No You see,a
2490256,2842,Ogres don't live happily ever after,n
2493445,921,All right Look lady,a
2494454,4523,Don't you point those dirty green cucges at me,a
2500450,2762,Crystal and coffee Oh Sorry,n
2503772,3283,Ah that's OK We were just leaving,n
2507735,2442,Very sorry to have wasted your time Miss godmother,n
2510257,1802,Just go,d
2512419,1001,Come on guys,n
2532393,2482,Working hard hey Mac,n
2537637,1281,POTION ROOM,m
2543682,5203,Hey man you wanna get your boot outa my face That stinks,a
2549566,2682,Well you don't exactly smell like a basket of roses,a
2556096,1482,One of these has got to help,n
2557372,2441,Oh I was just concocting this very plan,n
2559853,2562,Already our minds are becoming one,n
2562455,4003,When we need an expert on licking ouselves we'll give you a call,a
2567219,1681,Shrek this is a bad idea,a
2569140,3002,Look Make yourself useful and go keep watch,n
2572303,2922,Puss do you think you could get to those on top,n
2575225,3682,No problemo boss In one of my nine lives I was the great burglar,n
2578496,1802,of cntiago de Compostella,j
2581336,1200,Shrek,a
2582696,2082,Donkey keep watch,n
2585614,1921,Keep watch Yeah I'm gonna keep watch,a
2593318,1161,What do you see,n
2594496,1081,Toads softener,n
2596040,3843,Oh yeah I'm sure a nice BM is the perfect solution for marital problems,a
2600163,1121,Alca seltzer,n
2603136,2442,"No try ""handsome""",n
2606492,1361,"Sorry no ""handsome'",c
2608769,2682,"How about ""Happily ever after""",n
2612928,1641,Well what does it do,n
2615052,2561,It cys beauty divine,n
2617375,3163,You know in some cultures donkeys are revered as the wisest of all creatures,a
2620578,1761,Especially us talking ones,n
2623209,1281,Donkey,s
2626896,1401,That will have to do We got company,n
2634868,1321,Can we get over with this,a
2649239,1161,Nice catch Donkey,j
2650760,1001,Finally,n
2657253,1081,COME ON,s
2717213,3522,I don't care whose fault it is Just get this place cleaned up,a
2721051,921,Yes fairy godmother,n
2722452,4603,And somebody bring me something deep fried and smothered in chocolate,d
2727212,841,Mother,n
2728096,2201,Charming Sweetheart,n
2730698,3363,This isn't a good time pumpkin Mamma's working,n
2734141,1521,What happened here,n
2735742,1641,The ogre That's what,a
2737056,921,What,s
2738424,1041,Where is he mamma,a
2740014,2522,I shall rend his head from his shoulders,a
2742485,2121,I will smite him where he stands,a
2744268,3523,He will rue the very day he stole my kingdom from me,a
2748810,3402,Oh put it away junior You still gonna be king,n
2752394,2922,We've just gonna have to come up with something smarter that's all,n
2755764,3883,Pardon Everything is accounted for Fairy Godmother,n
2759359,1641,Except for one potion,n
2761121,1000,What,s
2765011,2762,I do believe we can make this work to our advantage,j
2770087,3202,Happily Ever After potion Maximum strength,n
2773530,1801,For you and your true love,n
2775411,3483,If one of you drinks this you both will be fine,n
2778934,2201,happiness comfort and beauty divine,n
2781215,1081,You both will be fine,s
2782336,3082,I guess it means it will affect Fiona too,n
2785885,1721,Hey man This don't feel right,f
2787700,1801,My donkey senses are tingling all over,f
2789541,2482,Why don't you just drop that jug of voodoo and let's get outta here,f
2792103,3563,It cys beauty divine How bad can it be,n
2797616,2802,I see you're allergic to that stuff You're gonna have a reaction,n
2800629,3323,And if you think that I'm gonna be smearing baby rub all over your chest,a
2803992,760,think again,a
2805033,3002,Just in case there's something wrong with the potion,n
2808075,1561,allow me to take the first sip,n
2809716,3323,It would be an honour to lay my life on the line for you,n
2813079,2321,Ah no no no I don't think so,a
2815440,2682,if there's gonna be any animal testing I'm gonna do it,n
2818162,3243,That's the best friend's job Now give me that bottle,a
2826328,881,How do you feel,n
2828654,2321,Well I don't feel any different,n
2830691,1201,Do I look any different,n
2831972,1441,You look like an ass to me,n
2834886,1842,Maybe it doesn't work on donkeys,n
2837888,3162,Well here's to us Fiona,n
2841259,961,Shrek,s
2842530,1761,If you drink that there's no going back,n
2844141,721,I know,a
2844982,1841,But no more wallowing in the mud,n
2847224,1160,No more itsy butt crack,n
2848096,921,I know,a
2849734,1521,But you love being an ogre,n
2854669,1841,But I love Fiona more,c
2858232,1040,Shrek no Wait,c
2871965,4163,I think you grabbed the fartier of the potion,d
2876405,1401,Maybe it's a dud,n
2878406,2842,Or maybe Fiona and I were never meant to be,c
2885456,2602,Ooh what did I tell you I think something coming on,f
2888133,2162,I don't wanna die I don't wanna die,f
2890335,2082,I DON'T WANNA DIE Oh Please,f
2892216,3882,I am melting I'm melting I'M MELTIIING,f
2896459,2082,It's just the rain Donkey,c
2899407,1121,All right,n
2941773,3162,Oh Shrek don't worry Things seem bad 'cause it's dark and rainy,n
2945374,2442,and Fiona's father hired a sleazy hitman wacky,n
2948016,1361,It'd be better in the morning,n
2949016,921,You'll see,n
2950979,2642,The sun'll come out,m
2954422,2041,tomorrow,m
2956774,680,Bit your bottom dollar,m
2958745,1401,Bit my bottom,s
2962604,1040,Donkey,s
2963669,1521,Are you all right,s
2965590,2682,Hey boss Let's shave him,n
2968272,1761,Dododonkey,n
2978439,1882,There you are We missed you at dinner,j
2981842,1081,What is it darling,n
2982656,3562,Dad I've been thinking about what you cid,c
2988006,1521,And I'm gonna set things right,c
2989888,2241,Excellent That's my girl,j
2992169,2042,It was a mistake to bring Shrek here,c
2995292,1721,I'm gonna go out and find him,c
2997854,2722,And then we're gonna go back to the swamp where we belong,c
3003938,841,Fiona Please,c
3005579,2922,Err let's stop being rash darling,n
3012256,920,Fiona Fiona,s
3051616,2122,Look look Shh quiet,j
3057777,1882,Good morning sleepy head,j
3060216,2843,Good morning We love your kitty,j
3063742,1481,My head,c
3065263,1881,Here I fetched you a pail of water,j
3067224,1561,Oh eh thanks,n
3076591,1801,A cute button nose,s
3079153,1681,thick wavy locks,s
3081772,2121,Taut round buttocks,s
3084612,1681,I'm I'm,s
3086078,921,Gorgeous,n
3086896,1961,I'll cy I'm Jill What's your name,n
3089040,1161,I'm Shrek,n
3089976,1441,Shrek Wow,n
3091882,1201,Are you from Europe,n
3093283,1201,You're so tense,n
3094056,3123,I wanna rub your shoulders I got it covered thanks I don't have anything to rub,c
3097727,1441,Well get in line,n
3099096,1921,Have you ladies seen my donkey,n
3101289,1161,"Who are you calling ""donkey""",a
3104091,1641,Donkey You're a,s
3105813,2521,A stallion baby I can whinny,j
3108336,1922,I can,j
3111372,921,Look at me Shrek,j
3111696,881,I'm trotting,j
3114529,2562,That's some quality potion What's the next stuff,j
3117061,3482,Oh don't drink the potion,d
3121336,4443,Warning Side effects may include burning itching oozing weeping,n
3125867,3683,Not intended for heart patients or those with nervous disorders,n
3134433,721,What,s
3135376,3363,Senor To make the effects of this potion permanent,n
3138757,2521,the drinker must obtain his true love's kiss,n
3141318,1081,by midnight,n
3142599,2682,Midnight Why is it always midnight,s
3145811,2442,Pick me I'll be your true love I'll be your true love,j
3147923,2082,I'll be true enough,n
3150365,3202,Look Ladies I already have a true love,n
3154536,4123,But take it from me boss You're going to have one ctisfied princess,n
3159051,2843,Let's face it You are,n
3161934,2641,But inside you're still the cme old mean clty,n
3164575,1962,cantankerous All right then,n
3166577,3563,angry ogre you've always been And you're still the cme annoying donkey,n
3170260,1000,Yeah,j
3173724,4924,Well look out princess Here comes the new me,j
3179605,2762,First things first We need to get you out of those clothes,n
3186592,1200,Ready Ready,n
3192896,841,Stop,n
3194157,2522,God help me please,f
3196839,3443,I'm blind I'm blind Never be able to play the violin again,f
3200362,3963,Oh you poor creature Is there anything I can do for you,c
3204685,1801,Well I guess there is one thing,n
3206686,2962,Take off the powder wig and step away from your drawers,n
3213451,2202,Not bad Not bad at all,n
3224216,2402,Father Is everything all right father,n
3231544,1321,Thank you gentlemen,n
3233066,2081,Some day I will repay you,n
3235227,3162,Unless of course I can't find you or if I forget,n
3256016,4443,Turn faces strange changes,m
3260966,3002,Don't wanna be a richer one,m
3264088,5844,Turn faces strange changes,m
3270013,2962,Just gonna have to be a different man,m
3273055,5404,Time may change me But I can't trace time,m
3280981,4283,Halt Tell princess Fiona her husband Sir Shrek is here to see her,n
3289747,3122,Still don't know what I was looking for,m
3292949,4884,And my time was running wild A million deadend streets,m
3297913,3002,Every time I thought IŠ—Èd got it made,m
3300955,3243,It seemed the taste was not so sweet,m
3306612,921,Fiona,f
3307400,800,Shrek,s
3312644,5284,Time may change me But I canŠ—Èt trace time,m
3317968,1080,Fiona,f
3322251,1681,Hello handsome,n
3324853,1361,Shrek,f
3327134,841,Princess,s
3328016,1681,Donkey,s
3329936,1882,Wow that potion worked on you too hah,s
3332018,1241,What potion,s
3333376,3082,It's kind of a long story but see Shrek and I took some magic potion,n
3336501,2402,and well now we're sexy,j
3340544,601,Shrek,s
3345107,2682,For you baby I could be,n
3347829,1081,Yeah you wish,n
3348896,1401,Donkey where is Shrek,s
3350471,1361,He just went inside looking for you,n
3354474,801,Shrek,f
3356196,880,Fiona,f
3357056,1441,Fiona,f
3360439,2001,You wanna dance pretty boy,n
3365042,1561,Where are you going so soon,n
3366683,2202,Don't you wanna see your wife,n
3369725,960,Fiona,n
3373328,921,Shrek,s
3374376,2242,Aye Fiona It is me,n
3377251,1401,What happened to your voice,n
3378336,3723,Err the potion changed a lot of things Fiona,n
3383295,1802,but not the way I feel about you,n
3385577,1121,Fiona,n
3388089,1281,Charming,s
3388936,1601,Ah do you think so,n
3391689,721,dad,n
3391776,2001,I was so hoping you'd approve,n
3394544,1441,Who are you,n
3396105,1441,Mom it's me Shrek,n
3397826,3483,I know you never get a second chance of a first impression,n
3401509,2522,but well What do you think,n
3408073,2402,Fiona Fiona,a
3412277,1401,FIONA,a
3414654,2442,Fiona Fiona Fiona,c
3417921,3202,I don't think they can hear us pigeon,n
3423569,3242,Don't you think you've already messed her life up enough,n
3427767,2041,I just wanted her to be happy,c
3429729,4203,And now she can be Oh sweetheart,n
3434333,3602,She's finally found the prince of her dreams,n
3438015,3323,But look at me Look what I've done for her,c
3441418,3482,It's time you stopped living in a fairy tale Shrek,c
3445141,3842,She's a princess And you're an ogre,n
3449929,3642,That's something no amount of potion is ever going to change,n
3460312,2682,But I love her,c
3463554,4964,If you really love her You'll let her go,n
3473001,2041,Shrek Senor,s
3474856,1361,Hey What's going on,s
3476564,1080,Where are you going,s
3483849,4363,You wouldn't have had anything to do with this would you Harold,n
3493376,2962,People just ain't no good,m
3498740,3522,A thing that's well understood,m
3502302,1241,There you go boys,n
3503583,1882,Just leave the bottle Boris,n
3505545,2562,Hey why the long face,n
3508925,2722,It was all just a stupid mistake,a
3512370,3642,I never should have rescued her from that tower in the first place,c
3518194,1601,I hate Mondays,c
3519995,3523,I can't believe you gonna just walk away from the best thing that ever happened to you,n
3523598,4003,What choice do I have She loves that pretty boy,c
3527641,1121,Prince Charming,c
3528802,2281,Ah come on now Is he really that good looking,n
3531527,2042,Are you kidding He's gorgeous,n
3533165,2802,He has a face that looks like it was carved by angels,n
3536087,2202,Hmm he sounds dreamy,n
3538449,3883,You know shockingly this isn't making me feel any better,c
3544813,3083,Look guys It's for the best,c
3548376,4043,Mom and dad approve and Fiona gets the man she's always dreamed of,n
3553019,1642,Everybody wins,c
3556053,4643,Except for you I don't get it Shrek You love Fiona,c
3560865,4003,Aye And that's why I have to let her go,c
3565348,5885,Ahahem excuse me Is she She's in the back,n
3572132,1561,Oh Hello again,n
3577998,2562,Fairy godmother Charming,n
3581212,3322,You'd better have a good reason for dragging us down here Harold,a
3584402,5484,I'm afraid Fiona isn't really warming up to prince Charming,n
3590207,2001,Not my fault,n
3592288,1481,Of course it's not dear,n
3593849,3803,I mean how charming can I be when I have to pretend to be I'm dreadful ogre,a
3597852,5284,It's nobody's fault Perhaps it's best if we call this whole thing off OK,n
3603176,721,What What,a
3604007,3002,I mean you can't force someone to fall in love,n
3607099,2882,How I hate to differ I do it all the time,n
3610702,4363,Have Fiona drink this and she'll fall in love with the first man she kisses,n
3615105,2081,which will be Charming,n
3617733,1401,Errno,n
3619588,1321,What did you cy,a
3620949,2282,I I can't I won't do it,n
3623271,5043,Yes you will If you remember I helped you with your happily ever after,a
3628395,3402,And I can take it away just as easily,a
3631997,1561,Is it what you want,n
3633758,1041,Is it,n
3635768,1241,No,n
3637201,2882,Good boy Now we have to go,n
3640123,2162,I need to do Charming's hair before the ball,n
3642365,3322,You know it's all high in the front You can never get to the back,n
3645376,1802,You know you always need someone to do the back of your hair,n
3648095,1441,Thank you mother,n
3649090,1080,MOTHER,a
3651568,2442,Err a talking horse,s
3653693,1321,The ogre,a
3656575,841,Stop them,a
3659337,1401,Stop them,a
3662099,6405,Far Far Away royal ball blow out,n
3669127,4523,Miss Muffet's curds and whey,n
3673307,4364,Everyone who's anyone has turned up to honour Princess Fiona and Prince Shrek,n
3677711,2401,and oh my the outfits look gorgeous,n
3680152,2202,Look Hansel and Gretel,n
3684476,3042,And right behind them Tom Thumb and Thumbelina,n
3687558,1881,Aren't they adorable,n
3690200,2281,Here comes Sleeping Beauty,n
3695927,1801,Who's this Who's this,s
3699415,4364,Oh It's the one It's the only It's the Fairy Godmother,j
3704290,3162,Hello Far Far Away,j
3711492,5524,May all your endings be happy and ah you know the rest,j
3718220,360,Medieval Entertainment,n
3719008,2682,We'll be right back with the royal Far Far Away ball,m
3721342,1161,after these mescges,m
3722056,3603,I hate these ball shows They bore me to tears,a
3726186,1321,Put over to Wheel of Torture,a
3727587,3883,I'm not flipping anywhere Sir until I see Shrek and Fiona,n
3732132,4163,Bad wizards on you guys Hey mice pass me a buffalo wing,n
3735953,2362,No no to your left YOUR LEFT,a
3741077,1441,Tonight on Knights,n
3742558,1681,Ah Now here's a good show,n
3744279,1882,We got a white bronco headed east into the forest,n
3746201,1201,Requesting backup,n
3748452,2442,This time for the men in steel to teach this madcap,n
3750616,921,that this devilmaycare attitude just won't,n
3754616,2522,Please,n
3758770,2402,I have to talk with Princess Fiona,n
3762412,3003,Will they get away with it Or did someone let the cat out of the bag,n
3768457,1281,Oh Get it off,a
3772100,1721,Captain if I cy it's not mine,n
3774608,1801,Find Princess Fiona,a
3777647,1161,I'm a donkey,a
3781976,1241,Quick Rewind it,n
3784495,800,Shrek,n
3785496,1882,I'm her husband Shrek,n
3813690,1121,Darling,n
3815565,5564,I thought I might find you here How about a nice hot cup of tea before the ball,n
3821966,1441,I'm not going,c
3823697,3123,But the whole kingdom's turned out to celebrate your marriage,n
3826900,3842,There's just one problem That' not my husband,c
3832376,1882,I mean look at him,c
3835146,4683,Yes he is a bit different But people change for the ones they love,n
3840029,2802,You'd be surprised how much I changed for your mother,n
3842911,4043,Change He's completely lost his mind,a
3846994,3283,Darling why not come down to the ball and give him another chance,n
3850317,2922,You might find you like this new Shrek,n
3853399,2642,But it's the old one I fell in love with dad,c
3857293,2322,I'd give anything to have him back,c
3862646,4843,Darling that's mine Decaf Otherwise Im up all night,n
3873934,1041,Thanks,j
3881379,4844,I wanna my Miranda rights I have the right to remain silent,a
3886303,1601,No one cid I have the right to remain silent,a
3887944,3083,Donkey You HAVE the right to remain silent,a
3891067,2281,What you lack is the capacity,a
3893428,3683,I must hold in before I too go totally mad,n
3897191,1081,Shrek,s
3897936,1161,Donkey,s
3899593,1721,Too late,c
3901096,3122,Gingie Pinocchio Get us out of here,s
3933498,1961,Quick Tell a lie,n
3935539,1441,Err what shall I cy,n
3937100,1241,Anything but quick,n
3938381,2362,cy something crazy like I'm wearing ladies' underwear,n
3940903,2682,I err am wearing ladies' underwear,n
3947067,881,Are you,s
3947856,1601,I most certainly am not,a
3950370,1921,It looks like you most certainly are,n
3952551,921,Am not,a
3953576,801,What kind,n
3954393,2121,It's a thong,j
3956554,761,They are briefs,a
3965856,2442,Hey wait Hey,a
3972576,360,What,a
3973006,1281,Puss,a
3976249,840,Sorry boss,n
3977016,2522,Quit messing around We've gotta stop that kiss,a
3979691,1762,I thought you was gonna let her go,n
3981533,2441,I was but I can\t let them do this to Fiona,a
3984014,3003,That's what I wanted to hear Look who's finally coming around,j
3987137,4043,Impossible The castle is guarded and there's a moat and everything,s
3992816,5044,Well folks it looks like we're up chocolate creek without a popsickle stick,c
4002536,1882,Do you still know the muffin man,n
4005430,3243,Well sure He's down on Dreary Lane Why,c
4008913,4923,Because we're gonna need flour Lots and lots of flour,n
4017216,1321,Gingy,j
4018159,4484,Fire up the ovens Muffin Man We've got a big order to fill,j
4026496,1921,It's alive,j
4046820,2602,Go Mongo go,n
4050663,2682,There it is Mongo To the castle,n
4053425,4564,No no no you great stupid pastry Come on,a
4065354,2442,Mongo Down here Look at the pony,n
4068730,2642,That's right Follow the pretty pony,n
4071799,1921,Pretty pony wants to play at the castle,n
4077203,4003,Ladies and gentlemen Presenting Princess Fiona,n
4081286,2642,and her new husband Prince Shrek,n
4086249,2002,Shrek what are you doing,s
4088331,2762,I'm just playing the part Fiona,n
4091253,2161,Is that glitter on your lips,s
4093615,2521,Cherry flavoured Want to taste,n
4097134,1521,What is with you,d
4098578,1441,Muffin cake,n
4103614,2321,C minor Put in C minor,n
4105846,1441,Ladies and gentlemen,n
4109296,2682,I'd like to dedicate this song to,n
4112508,1842,Princess Fiona,n
4114470,2001,and Prince Shrek,n
4116966,4163,Fiona my princess do you honour me with the dance,n
4122164,4123,Where have all the good men gone and,m
4125998,3363,where are all the gods,m
4129936,7486,Where's the streetwise Hercules To fight the rising odds,m
4140169,1561,Since when do you dance,s
4141970,3643,Fiona my dearest if there's one thing I know is that love,n
4145616,1801,is full of surprises,n
4147614,8326,Late at night I toss and turn and dream of what I need,m
4157341,761,Hit it,a
4161464,1761,I need a hero,m
4163466,3963,All right big fella Let's crash this party,j
4167969,1441,Fire the catapult,f
4171576,1160,Fire,n
4183921,2682,The gumdrop button,f
4193136,1561,It's coming,f
4195889,921,All right,j
4199252,5044,Somewhere after midnight In my wildest fantasy,m
4205256,1121,Go Mongo GO,n
4216544,2242,After you Mongo,n
4221308,1041,That's it,n
4224470,1321,Watch out,s
4232716,1882,More heat Let's go,a
4234638,2802,Up where the mountains meet the heavens above,m
4237520,2922,Out where the lightning splits the sea,m
4240602,4603,I could swear that there's someone somewhere watching me,m
4285256,961,COME ON,a
4295122,2001,I need a hero,m
4297364,3482,I'm holding out for a hero 'til the morning light,m
4301174,5965,He's gotta be strong And it's gotta be soon And he's gotta be larger than life,m
4308972,640,Puss,a
4313215,2402,Go Go Your lady needs you GO,n
4318459,2482,Today I repay my debt,n
4328546,2162,En guarde,a
4334551,2802,And he's gotta be strong And he's gotta be fast,m
4337393,2482,And he's gotta be fresh from the fight,m
4340515,1161,I need a hero,m
4341536,801,STOP,a
4347920,3123,Hey You Back away from my wife,a
4351243,841,Shrek,s
4353052,2482,You couldn't just go back to your swamp and,a
4355486,1561,live well enough alone,a
4357127,2122,No Pigs on blanket,a
4362011,2081,Pinocchio Get the wand,a
4368696,1761,I'm a real boy,j
4372538,1442,Look out,n
4386576,2162,I'm a real ha,n
4392736,1442,It's mine That's mine,n
4398638,1761,Pray for mercy from Puss,j
4400519,841,And Donkey,j
4402040,2562,She's taken the potion Kiss her now,a
4407964,921,Noo,a
4430381,720,Fiona,j
4430936,1201,Shrek,n
4432422,3643,Harold You were supposed to give her the potion,a
4436265,3883,Well I guess I gave her the wrong tea,n
4440228,921,Mummy,j
4441056,880,Mummy,s
4443896,5604,I told you ogres don't live happily ever after,a
4473216,880,Dad,c
4477411,1602,Is he up,c
4480816,2081,He croaked,c
4484700,1161,Harold,s
4485896,921,Dad,s
4487045,3242,I thought you'd never see me like this,c
4490265,2321,Hey you gave me a hard time Donkey,a
4492626,2002,No no he's right I'm sorry,c
4494708,5164,to both of you I only wanted what was best for Fiona,c
4500569,3683,But I can see now She already has it,n
4505368,1961,Shrek Fiona,n
4507757,3683,Will you accept an old frog's appologies,n
4511960,1562,and my blessing,n
4514722,921,Harold,s
4515935,4443,I'm sorry Lilian I just wish I could be the man you deserve,c
4521646,3402,You're more that man today than you ever were,j
4525893,1281,warts and all,j
4530454,2682,Boss The Happy TOgether Ever After Potion,s
4533176,1681,Midnight,s
4535045,2882,Fiona Is this what you want,n
4538574,2722,to be this way forever What,n
4541532,4603,'cause if you kissed me now we can stay like this,n
4546888,2842,You'd do that For me,s
4549816,1081,Yes,n
4559235,5524,I want what every princess wants to live happily ever after,n
4568562,2842,With the ogre I married,n
4573846,2842,Whatever happens I must not cry,n
4576768,2602,You cannot make me cry,c
4603265,1635,No no no NO,f
4628200,3000,You still look like a noble steed to me,n
4635296,2520,Now Where were we,j
4637810,2245,I remember,j
4646980,3400,Aren't we supposed to be having a fiesta,j
4650420,1240,Uno dos quatro Hit it,j
4661030,4680,She's in superstitions black cats and voodoo dolls,m
4666190,4770,You feel a premonition That girl's gonna make me fall,m
4702611,1240,Hey gorgeous,m